epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.954,1.31434,3.89467,2.80929,1.5372,0.77672,0.52151,0.47615,0.32326,0.72706,0.47875,0.41407,0.20984,1.31886,5.07141,3.00636,1.39217,0.00012861,0.00012861,0.00012861
2,307.881,1.12124,2.61026,1.72245,1.36075,0.52435,0.43472,0.46367,0.31487,0.64896,0.3737,0.42213,0.25014,1.34812,4.33019,2.54658,1.46939,0.000266134,0.000266134,0.000266134
3,455.166,1.12928,2.49008,1.52803,1.32594,0.51852,0.43224,0.44225,0.27904,0.39052,0.45275,0.39903,0.20321,1.48262,6.65679,2.66977,1.5903,0.000397999,0.000397999,0.000397999
4,587.719,1.13672,2.41643,1.42465,1.35188,0.7831,0.3285,0.40975,0.21141,0.7351,0.31299,0.37301,0.17464,1.67054,4.64463,2.81053,1.78574,0.000524206,0.000524206,0.000524206
5,714.907,1.243,2.48475,1.47321,1.42309,0.32896,0.27381,0.24654,0.1404,0.35651,0.27919,0.24615,0.13139,1.71631,3.58727,3.42854,1.81784,0.000644753,0.000644753,0.000644753
6,832.863,1.21415,2.28539,1.43706,1.40462,0.49398,0.28334,0.32199,0.16582,0.21704,0.36587,0.22202,0.09679,1.75357,5.64841,4.79964,1.93675,0.000759642,0.000759642,0.000759642
7,959.852,1.28768,2.53249,1.46593,1.44975,0.30947,0.37308,0.31097,0.15074,0.25344,0.29786,0.2314,0.09586,2.19477,6.42874,3.64546,2.40704,0.000868872,0.000868872,0.000868872
8,1079.64,1.25406,2.55516,1.44663,1.44197,0.52013,0.35855,0.37254,0.20077,0.47144,0.32847,0.32853,0.15072,1.80785,6.63109,2.7659,2.59454,0.000972443,0.000972443,0.000972443
9,1197.27,1.30473,2.45263,1.45304,1.46801,0.45094,0.37819,0.3456,0.18001,0.38532,0.33991,0.2607,0.08489,2.03476,10.542,4.73627,2.79123,0.00107036,0.00107036,0.00107036
10,1315.58,1.25418,2.2614,1.41084,1.45213,0.24101,0.27572,0.17626,0.08625,0.23585,0.20166,0.14386,0.05866,2.61522,9.77815,5.99869,3.11479,0.00116261,0.00116261,0.00116261
11,1431.92,1.33937,2.56288,1.51561,1.49323,0.24373,0.28584,0.13918,0.06042,0.21273,0.20191,0.10994,0.04347,2.73267,8.81129,3.73776,3.04611,0.00114606,0.00114606,0.00114606
12,1548.77,1.23555,2.52287,1.42979,1.43312,0.42197,0.29207,0.24613,0.11913,0.4297,0.22905,0.19337,0.07301,2.10465,7.26372,3.00997,2.36345,0.00111776,0.00111776,0.00111776
13,1666.12,1.2014,2.25448,1.28383,1.38534,0.36007,0.34259,0.2347,0.102,0.32126,0.28644,0.19039,0.07861,2.09131,5.65957,3.39528,2.25762,0.00108947,0.00108947,0.00108947
14,1783.31,1.22124,2.19151,1.27205,1.39765,0.34452,0.33094,0.26319,0.1406,0.27552,0.31898,0.22386,0.10799,1.90604,5.53632,3.81663,2.10165,0.00106118,0.00106118,0.00106118
15,1901.96,1.21343,2.37825,1.30363,1.38158,0.32753,0.30231,0.24731,0.13768,0.29839,0.26229,0.20491,0.10091,2.03859,4.6166,4.7016,2.20339,0.00103288,0.00103288,0.00103288
16,2018.97,1.18121,2.22271,1.26682,1.36605,0.51683,0.2692,0.32285,0.19012,0.5187,0.23844,0.29258,0.15919,1.79798,4.44404,3.0798,1.8647,0.00100459,0.00100459,0.00100459
17,2135.79,1.13614,2.05944,1.20517,1.34895,0.27209,0.45448,0.3136,0.17608,0.25475,0.36923,0.2841,0.15064,1.84749,3.58605,3.4798,1.93987,0.000976293,0.000976293,0.000976293
18,2252.89,1.1672,2.22745,1.24643,1.38139,0.33937,0.33683,0.34509,0.19035,0.34287,0.31921,0.29554,0.15497,1.77856,3.8452,3.1172,1.96124,0.000947999,0.000947999,0.000947999
19,2369.2,1.099,2.08316,1.15035,1.32361,0.40927,0.48057,0.37815,0.20615,0.3784,0.4403,0.34504,0.17159,1.79772,3.66571,2.80963,2.00459,0.000919704,0.000919704,0.000919704
20,2484.46,1.08597,2.02821,1.16742,1.33987,0.54512,0.35191,0.40005,0.24401,0.51785,0.33517,0.36157,0.20541,1.67337,3.71436,2.08326,1.78888,0.00089141,0.00089141,0.00089141
21,2601.7,1.10927,2.14539,1.12427,1.32778,0.58235,0.36142,0.4449,0.26325,0.82662,0.30705,0.39876,0.21668,1.60154,3.32957,2.0118,1.65635,0.000863116,0.000863116,0.000863116
22,2716.02,1.06734,1.95466,1.11487,1.31728,0.55881,0.41611,0.44397,0.2703,0.57881,0.42035,0.41991,0.23285,1.60948,3.36432,2.40351,1.66955,0.000834822,0.000834822,0.000834822
23,2830.49,1.01795,1.9525,1.0675,1.2869,0.64423,0.4505,0.44755,0.29129,0.62271,0.43352,0.41255,0.24669,1.52438,3.08954,2.02361,1.59363,0.000806528,0.000806528,0.000806528
24,2944.62,1.03223,1.90504,1.06053,1.28154,0.5117,0.39469,0.41853,0.26707,0.47804,0.40007,0.40584,0.23844,1.40445,3.12124,1.83926,1.54537,0.000778233,0.000778233,0.000778233
25,3058.89,1.0472,1.98742,1.05992,1.29581,0.4656,0.47414,0.44504,0.29994,0.46025,0.46488,0.43236,0.26219,1.39877,3.0968,1.95536,1.46111,0.000749939,0.000749939,0.000749939
26,3173.87,1.00683,1.78549,0.97026,1.2709,0.62682,0.48156,0.50956,0.32325,0.58348,0.45241,0.46242,0.28372,1.36056,3.2075,1.87601,1.38256,0.000721645,0.000721645,0.000721645
27,3287.33,1.00678,1.82524,0.96997,1.25673,0.66366,0.43838,0.49842,0.32234,0.63424,0.40778,0.45472,0.27222,1.36743,3.35672,1.72811,1.42587,0.000693351,0.000693351,0.000693351
28,3401.19,0.96741,1.86958,0.92522,1.24219,0.70154,0.43975,0.47884,0.29263,0.65386,0.43049,0.44239,0.24686,1.55425,3.47269,1.85191,1.65266,0.000665057,0.000665057,0.000665057
