epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.714,1.27186,2.93542,1.4926,0.49402,0.37622,0.39032,0.27482,1.43091,4.04342,1.55004,0.00012861,0.00012861,0.00012861
2,237.86,1.13362,1.79989,1.37324,0.89931,0.26677,0.38796,0.25895,1.56769,3.79908,1.68103,0.000266134,0.000266134,0.000266134
3,357.615,1.11653,1.6156,1.337,0.43974,0.27869,0.34376,0.21079,1.6218,5.45175,1.69007,0.000397999,0.000397999,0.000397999
4,461.006,1.12223,1.46998,1.3375,0.25626,0.20353,0.18939,0.08625,1.99593,5.57217,2.29903,0.000524206,0.000524206,0.000524206
5,556.348,1.1795,1.47293,1.39442,0.32703,0.31285,0.30191,0.18969,1.84067,4.31727,2.10188,0.000644753,0.000644753,0.000644753
6,651.531,1.21388,1.49388,1.42962,0.46953,0.35121,0.31589,0.18733,1.60252,2.95914,2.18226,0.000759642,0.000759642,0.000759642
7,747.574,1.29608,1.52953,1.48251,0.33699,0.39167,0.32804,0.20673,1.53564,2.47187,2.18169,0.000868872,0.000868872,0.000868872
8,841.757,1.28361,1.47888,1.47003,0.32034,0.346,0.3116,0.148,2.04964,2.95217,2.43768,0.000972443,0.000972443,0.000972443
9,937.723,1.27705,1.46857,1.45594,0.4848,0.2471,0.28912,0.17616,2.15183,5.52081,2.65305,0.00107036,0.00107036,0.00107036
10,1029.39,1.20252,1.40477,1.43142,0.21463,0.1688,0.08581,0.021,2.63568,4.25655,3.14752,0.00116261,0.00116261,0.00116261
11,1117.05,1.31646,1.51662,1.51712,0.44093,0.03465,0.02447,0.01371,2.89231,4.3879,2.8328,0.00114606,0.00114606,0.00114606
12,1207.13,1.24238,1.43486,1.45174,0.35191,0.23336,0.1253,0.05667,2.49441,8.13376,2.65743,0.00111776,0.00111776,0.00111776
13,1296.42,1.18177,1.3153,1.37962,0.32631,0.29975,0.20186,0.0979,2.23542,8.87281,2.4011,0.00108947,0.00108947,0.00108947
14,1384.23,1.21507,1.37382,1.41302,0.55591,0.30284,0.28901,0.14101,2.0163,5.59557,2.15342,0.00106118,0.00106118,0.00106118
15,1471.16,1.22014,1.37986,1.4263,0.54558,0.27359,0.28566,0.15252,1.95,4.32977,2.15832,0.00103288,0.00103288,0.00103288
16,1559.85,1.17815,1.33095,1.40348,0.30481,0.3891,0.30197,0.17728,1.97232,3.46174,2.16827,0.00100459,0.00100459,0.00100459
17,1649.47,1.16928,1.26808,1.36802,0.37245,0.27355,0.27336,0.14288,2.13641,3.93536,2.22146,0.000976293,0.000976293,0.000976293
18,1737.59,1.18732,1.31258,1.41201,0.45041,0.27445,0.30412,0.14242,1.97208,2.94093,2.09967,0.000947999,0.000947999,0.000947999
19,1825.12,1.10074,1.17773,1.32173,0.45526,0.35582,0.34833,0.19233,1.75887,2.92014,1.83841,0.000919704,0.000919704,0.000919704
20,1913.89,1.11633,1.21457,1.38162,0.5833,0.34912,0.36228,0.21161,1.81151,2.70999,1.85601,0.00089141,0.00089141,0.00089141
21,2002.14,1.11841,1.17194,1.35904,0.57234,0.34383,0.39941,0.23459,1.71196,2.68754,1.75316,0.000863116,0.000863116,0.000863116
22,2090.78,1.08865,1.17691,1.34686,0.55684,0.38121,0.41169,0.25449,1.60293,2.3725,1.66089,0.000834822,0.000834822,0.000834822
23,2178.59,1.01985,1.09319,1.30975,0.60506,0.35251,0.42236,0.25944,1.63884,2.28357,1.66162,0.000806528,0.000806528,0.000806528
24,2266.62,1.02515,1.0985,1.28749,0.60808,0.37211,0.42453,0.25902,1.6181,2.28048,1.63184,0.000778233,0.000778233,0.000778233
25,2354.45,1.05521,1.09359,1.3049,0.53557,0.42998,0.4586,0.3031,1.57037,2.31309,1.60501,0.000749939,0.000749939,0.000749939
26,2442.39,1.02661,1.03091,1.30736,0.64885,0.42863,0.4605,0.3156,1.42652,1.86788,1.55486,0.000721645,0.000721645,0.000721645
27,2532.07,1.00593,1.0172,1.27172,0.65052,0.39686,0.45781,0.29375,1.48426,1.75901,1.5586,0.000693351,0.000693351,0.000693351
28,2619.52,0.97151,0.98174,1.24142,0.61731,0.43049,0.4634,0.27602,1.5769,1.97364,1.69114,0.000665057,0.000665057,0.000665057
29,2706.19,0.91833,0.96586,1.20232,0.70219,0.43975,0.48872,0.30392,1.41131,1.85673,1.56148,0.000636762,0.000636762,0.000636762
30,2793.76,0.93866,0.96397,1.24715,0.54121,0.53375,0.50218,0.29469,1.38824,2.05325,1.47726,0.000608468,0.000608468,0.000608468
31,2880.94,0.94074,0.93184,1.22004,0.6485,0.4222,0.47831,0.27061,1.54543,2.33397,1.58703,0.000580174,0.000580174,0.000580174
32,2968.45,0.96962,0.91636,1.23075,0.58025,0.49027,0.50862,0.31598,1.37584,2.02272,1.48688,0.00055188,0.00055188,0.00055188
33,3056.72,0.90466,0.88075,1.1891,0.58532,0.57042,0.52076,0.33523,1.27864,1.88994,1.39943,0.000523586,0.000523586,0.000523586
34,3147.65,0.90443,0.88956,1.22242,0.53513,0.56132,0.5041,0.32077,1.34202,1.8782,1.42683,0.000495291,0.000495291,0.000495291
35,3236.29,0.84343,0.82557,1.19143,0.54853,0.47963,0.49565,0.31567,1.34772,1.84239,1.42986,0.000466997,0.000466997,0.000466997
36,3326.12,0.86902,0.82211,1.18157,0.5307,0.41436,0.45,0.28966,1.42852,1.97088,1.48747,0.000438703,0.000438703,0.000438703
37,3414.96,0.86289,0.81549,1.16036,0.56469,0.43681,0.47296,0.30391,1.37238,1.88691,1.47187,0.000410409,0.000410409,0.000410409
38,3504.57,0.84012,0.82312,1.17813,0.67042,0.42631,0.50698,0.3348,1.30225,1.65059,1.38444,0.000382115,0.000382115,0.000382115
39,3592.59,0.88003,0.83596,1.20092,0.65688,0.47589,0.52548,0.33982,1.19257,1.64846,1.27711,0.00035382,0.00035382,0.00035382
40,3682.29,0.85159,0.83809,1.18805,0.59951,0.4415,0.52413,0.32833,1.29956,1.55099,1.47146,0.000325526,0.000325526,0.000325526
41,3770.91,0.91192,1.12704,1.22524,0.65215,0.42413,0.52657,0.34649,1.26182,1.5419,1.38449,0.000297232,0.000297232,0.000297232
42,3858.72,0.83468,0.884,1.17392,0.71998,0.39946,0.50526,0.3187,1.35012,1.66627,1.50589,0.000268938,0.000268938,0.000268938
43,3946.2,0.80453,0.82243,1.17679,0.65414,0.41437,0.50128,0.32508,1.28849,1.625,1.3971,0.000240644,0.000240644,0.000240644
44,4034.31,0.75077,0.73849,1.15041,0.71581,0.47426,0.54202,0.36137,1.16994,1.47111,1.26993,0.000212349,0.000212349,0.000212349
45,4121.9,0.72774,0.71117,1.11238,0.75274,0.48004,0.55209,0.36346,1.17283,1.46593,1.26557,0.000184055,0.000184055,0.000184055
46,4209.13,0.73349,0.73646,1.13513,0.64084,0.53675,0.5502,0.35401,1.24983,1.51091,1.34151,0.000155761,0.000155761,0.000155761
47,4297.77,0.71046,0.6929,1.11592,0.64784,0.5552,0.54651,0.35592,1.2618,1.50953,1.34046,0.000127467,0.000127467,0.000127467
48,4386.23,0.70797,0.67681,1.09515,0.65323,0.56716,0.57375,0.37301,1.17899,1.4526,1.26781,9.91726e-05,9.91726e-05,9.91726e-05
49,4474.61,0.74201,0.6845,1.11309,0.68505,0.56716,0.58321,0.38427,1.16964,1.42898,1.27156,7.08784e-05,7.08784e-05,7.08784e-05
50,4562.75,0.66024,0.61676,1.0669,0.65765,0.57254,0.58192,0.39612,1.16351,1.40696,1.26749,4.25842e-05,4.25842e-05,4.25842e-05
